scam_type,amount_lost,total_reports,description
Investment,45507126.33,1675,Scam offering a financial product or investment
Relationship,7473440.61,933,Relationship or romance scams
Buying and selling,5198181.93,9510,Buying or selling a product or service
Phishing,4260832.28,13428,Emails or messages to obtain personal information
Employment,4016525.34,982,"Fake jobs, often promising high pay for little effort"
Takeover,2622485.54,5710,Scammers take over your account or impersonate you
Money recovery,2386627,779,Scammers charge fees to recover losses
Threat,1969578.29,2000,Scams using intimidationor threats to demand payment
Payment redirection,1644534.29,913,Scammers intercept invoices and alter payment details
Unexpected money,1124830.92,1235,Promises of inheritance or winnings
